[0] N(41) HP(135) PP(168) HA(175) HM(186) PM(195) PA(243)
[1609] N(695) HP(2933) HA(3667) HM(3773) PM(4225) PP(4396) PA(5173)
[1610] N(310) HP(1233) HA(1558) HM(1573) PP(1906) PM(2011) PA(2221)
[1611] N(743) HP(3152) HA(3910) HM(4024) PM(4888) PP(5416) PA(6024)
[1612] N(20) HP(65) PP(72) PM(75) HM(83) HA(83) PA(94)
[1613] N(683) HP(2835) HA(3541) HM(3703) PM(4264) PP(4791) PA(5442)
[1614] N(934) HP(4008) HA(5042) HM(5187) PM(6358) PP(6630) PA(7752)
[1615] N(540) HP(2245) HA(2773) HM(2903) PM(3406) PP(3871) PA(4389)
[1616] N(589) HP(2453) HA(3055) HM(3114) PP(3887) PM(3926) PA(4582)
[1617] N(519) HP(1037) HA(1898) HM(2073) PM(2906) PA(4279) PP(135976)
[1618] N(699) HP(2918) HA(3706) HM(3778) PM(4815) PA(5045) PP(5963)
[1619] N(842) HP(3562) HA(4486) HM(4620) PM(5443) PP(5748) PA(6583)
[1620] N(310) HP(1223) HA(1528) HM(1603) PM(1709) PA(1890) PP(2387)
[1621] N(652) HP(2728) HA(3393) HM(3551) PM(4115) PA(5042) PP(5190)
[1622] N(837) HP(3593) HA(4468) HM(4628) PM(5560) PP(6248) PA(7239)
[1623] N(839) HP(3624) HA(4474) HM(4620) PM(5963) PP(6312) PA(6495)
[1624] N(624) HP(2577) HA(3250) HM(3385) PP(4082) PM(4291) PA(4558)
[1625] N(232) HP(881) HA(1126) HM(1182) PM(1231) PP(1325) PA(1576)
[1626] N(40) HP(131) PP(162) HA(169) PA(170) HM(173) PM(212)
[1627] N(400) HP(1563) HA(2037) HM(2067) PM(2372) PA(3020) PP(3258)
[1628] N(90) HP(313) HA(405) HM(434) PM(437) PP(443) PA(598)
[1629] N(596) HP(2498) HA(3112) HM(3176) PM(3924) PA(4248) PP(4274)
[1630] N(914) HP(4008) HA(4911) HM(5024) PP(6372) PM(6966) PA(8133)
[1631] N(563) HP(2398) HA(2890) HM(3007) PM(3012) PP(3959) PA(4954)
[1632] N(792) HP(3355) HA(4223) HM(4327) PM(5215) PP(5374) PA(6212)
[1633] N(840) HP(3603) HA(4465) HM(4601) PP(5571) PM(6132) PA(6444)
[1634] N(508) HP(2090) HA(2591) HM(2678) PP(3302) PM(3308) PA(3514)
[1635] N(936) HP(4013) HA(4971) HM(5162) PM(6262) PA(7276) PP(7925)
[1636] N(443) HP(1803) HA(2250) HM(2352) PM(2768) PA(3189) PP(3199)
[1637] N(579) HP(2394) HA(3009) HM(3106) PP(3588) PM(3870) PA(4462)
[1638] N(939) HP(4032) HA(5005) HM(5200) PM(6163) PP(6889) PA(7265)
[1639] N(815) HP(3457) HA(4323) HM(4477) PM(5212) PA(6458) PP(6531)
[1640] N(227) HP(868) HA(1111) HM(1133) PM(1265) PP(1299) PA(1337)
[1641] N(649) HP(2730) HA(3391) HM(3470) PM(4028) PP(4353) PA(5298)
[1642] N(845) HP(3591) HA(4517) HM(4656) PM(6071) PP(6085) PA(6419)
[1643] N(492) HP(2033) HA(2521) HM(2602) PM(3619) PP(3633) PA(4197)
[1644] N(75) HP(272) PP(343) HA(343) PM(352) HM(358) PA(398)
[1645] N(605) HP(2516) HA(3139) HM(3284) PM(3815) PP(3829) PA(4141)
[1646] N(890) HP(3790) HA(4774) HM(4886) PM(5693) PP(6580) PA(7028)
[1647] N(768) HP(3302) HA(4076) HM(4199) PM(4716) PP(5364) PA(6492)
[1648] N(48) HP(170) HA(203) HM(215) PP(219) PA(248) PM(255)
[1649] N(763) HP(3277) HA(3961) HM(4204) PM(4856) PP(5133) PA(5806)
[1650] N(197) HP(753) HA(944) HM(978) PA(1047) PP(1150) PM(1170)
[1651] N(824) HP(3520) HA(4415) HM(4523) PM(5387) PP(5588) PA(6543)
[1652] N(708) HP(3015) HA(3735) HM(3830) PM(4807) PP(5186) PA(5614)
[1653] N(649) HP(2726) HA(3363) HM(3505) PM(4122) PA(4428) PP(4665)
[1654] N(308) HP(1229) HA(1530) HM(1597) PM(1747) PP(1849) PA(2475)
[1655] N(698) HP(1395) HA(2555) HM(2789) PM(4571) PA(5016) PP(245345)
[1656] N(460) HP(1908) HA(2341) HM(2410) PP(2960) PM(2994) PA(3541)
[1657] N(922) HP(3992) HA(4828) HM(5099) PM(5886) PA(7027) PP(7841)
[1658] N(169) HP(641) HA(800) HM(828) PA(973) PM(1006) PP(1058)
[1659] N(338) HP(1359) HA(1700) HM(1770) PM(1980) PP(2298) PA(2627)
[1660] N(289) HP(1146) HA(1459) HM(1499) PM(1572) PP(1815) PA(2316)
[1661] N(329) HP(1288) HA(1653) HM(1709) PM(1936) PP(2007) PA(2356)
[1662] N(667) HP(2781) HA(3525) HM(3623) PM(4544) PP(4692) PA(5014)
[1663] N(691) HP(1381) HA(2548) HM(2761) PM(4514) PA(4967) PP(240466)
[1664] N(854) HP(3711) HA(4581) HM(4683) PP(6521) PM(6589) PA(7652)
[1665] N(327) HP(1290) HA(1633) HM(1682) PM(1900) PA(2053) PP(2217)
[1666] N(593) HP(2483) HA(3038) HM(3204) PM(3672) PP(4118) PA(4883)
[1667] N(225) HP(861) HA(1103) HM(1146) PM(1287) PP(1416) PA(1475)
[1668] N(749) HP(3143) HA(3965) HM(4084) PM(5185) PP(5465) PA(5734)
[1669] N(995) HP(4312) HA(5327) HM(5587) PM(7112) PP(7172) PA(8031)
[1670] N(434) HP(1780) HA(2198) HM(2275) PA(2736) PM(2786) PP(2931)
[1671] N(598) HP(2467) HA(3067) HM(3239) PM(3984) PA(4006) PP(4082)
[1672] N(636) HP(2625) HA(3347) HM(3455) PM(4555) PP(5264) PA(5293)
[1673] N(511) HP(2122) HA(2665) HM(2735) PM(3234) PP(3639) PA(3799)
[1674] N(260) HP(1022) HA(1286) HM(1336) PP(1469) PA(1659) PM(1704)
[1675] N(492) HP(2034) HA(2524) HM(2605) PP(3119) PM(3245) PA(3360)
[1676] N(570) HP(2394) HA(2960) HM(3022) PM(3514) PA(4182) PP(4347)
[1677] N(67) HP(236) HA(304) PM(307) HM(312) PA(326) PP(337)
[1678] N(377) HP(1489) HA(1906) HM(1942) PM(2270) PP(2611) PA(2662)
[1679] N(132) HP(490) HA(623) HM(637) PM(641) PP(675) PA(939)
[1680] N(659) HP(2739) HA(3458) HM(3569) PM(4288) PP(4656) PA(5260)
[1681] N(860) HP(3685) HA(4527) HM(4698) PM(5576) PP(6139) PA(7298)
[1682] N(351) HP(1409) HA(1764) HM(1857) PM(2073) PP(2211) PA(2739)
[1683] N(884) HP(3835) HA(4712) HM(4854) PM(6349) PA(7052) PP(7233)
[1684] N(106) HP(372) PM(444) HA(482) HM(503) PP(557) PA(834)
[1685] N(426) HP(1712) HA(2158) HM(2246) PM(2602) PP(2822) PA(3255)
[1686] N(449) HP(897) HA(1642) HM(1793) PM(2633) PA(3415) PP(101921)
[1687] N(857) HP(3684) HA(4586) HM(4712) PM(5592) PA(6896) PP(7008)
[1688] N(49) HP(158) PM(189) HA(208) HM(216) PA(247) PP(260)
[1689] N(130) HP(484) HA(604) HM(622) PP(660) PA(724) PM(811)
[1690] N(435) HP(1753) HA(2228) HM(2285) PM(2646) PP(3245) PA(3440)
[1691] N(530) HP(2201) HA(2737) HM(2820) PA(3681) PP(3763) PM(3832)
[1692] N(131) HP(475) HA(598) HM(638) PM(646) PP(652) PA(877)
[1693] N(312) HP(1235) HA(1564) HM(1605) PP(1783) PM(1963) PA(1974)
[1694] N(935) HP(4036) HA(5000) HM(5172) PM(6146) PP(6511) PA(7647)
[1695] N(858) HP(3733) HA(4588) HM(4763) PM(5791) PP(6515) PA(7152)
[1696] N(691) HP(2906) HA(3605) HM(3761) PM(4174) PP(4618) PA(5306)
[1697] N(293) HP(1176) HA(1475) HM(1517) PM(1885) PP(1999) PA(2071)
[1698] N(202) HP(779) HA(974) HM(1002) PM(1092) PA(1159) PP(1286)
[1699] N(825) HP(3505) HA(4345) HM(4547) PM(5883) PP(6566) PA(7281)
[1700] N(294) HP(1143) HA(1440) HM(1490) PP(1525) PM(1647) PA(2299)
[1701] N(713) HP(2972) HA(3731) HM(3885) PP(4438) PM(4504) PA(5479)
[1702] N(978) HP(4276) HA(5243) HM(5440) PP(6504) PM(6716) PA(8337)
[1703] N(364) HP(1449) HA(1828) HM(1903) PM(2262) PP(2418) PA(2865)
[1704] N(107) HP(387) HM(498) HA(499) PM(537) PP(678) PA(709)
[1705] N(697) HP(2951) HA(3690) HM(3813) PP(4768) PM(5029) PA(5826)
[1706] N(710) HP(3001) HA(3785) HM(3835) PP(5185) PM(5290) PA(6067)
[1707] N(858) HP(3641) HA(4509) HM(4698) PP(5994) PM(6273) PA(6772)
[1708] N(673) HP(2859) HA(3541) HM(3643) PM(4154) PP(4649) PA(5193)
[1709] N(885) HP(3833) HA(4712) HM(4898) PM(5928) PP(6045) PA(6904)
[1710] N(675) HP(2860) HA(3605) HM(3652) PP(4449) PM(4804) PA(5057)
[1711] N(61) HP(121) HA(219) HM(241) PM(253) PA(337) PP(2011)
[1712] N(648) HP(2740) HA(3361) HM(3494) PM(4001) PP(4011) PA(5624)
[1713] N(607) HP(2498) HA(3131) HM(3228) PM(4039) PP(4813) PA(5648)
[1714] N(86) HP(315) HA(385) HM(407) PP(433) PM(443) PA(524)
[1715] N(711) HP(2993) HA(3728) HM(3849) PM(4388) PP(5218) PA(6027)
[1716] N(995) HP(4319) HA(5437) HM(5548) PM(7445) PP(7483) PA(8197)
[1717] N(74) HP(261) PM(332) HA(338) PP(340) HM(347) PA(469)
[1718] N(508) HP(2130) HA(2616) HM(2703) PP(2882) PM(3161) PA(4174)
[1719] N(647) HP(2732) HA(3426) HM(3501) PM(3860) PP(4329) PA(4916)
[1720] N(282) HP(1090) HA(1391) HM(1447) PP(1783) PM(1847) PA(2104)
[1721] N(936) HP(4088) HA(5036) HM(5182) PM(6373) PA(7132) PP(7250)
[1722] N(604) HP(2529) HA(3107) HM(3221) PM(3835) PP(4294) PA(4478)
[1723] N(201) HP(757) HA(958) HM(986) PM(1062) PP(1186) PA(1705)
[1724] N(183) HP(681) HA(886) HM(908) PP(933) PM(983) PA(1239)
[1725] N(117) HP(431) HA(548) HM(565) PP(597) PM(657) PA(717)
[1726] N(197) HP(769) HA(952) HM(984) PP(1136) PM(1171) PA(1378)
[1727] N(517) HP(2163) HA(2668) HM(2792) PM(3140) PA(3527) PP(3721)
[1728] N(123) HP(450) PM(545) HA(580) HM(597) PP(615) PA(800)
[1729] N(818) HP(3475) HA(4391) HM(4404) PM(5164) PP(5880) PA(7094)
[1730] N(348) HP(1371) HA(1726) HM(1790) PP(1966) PM(2234) PA(2577)
[1731] N(126) HP(458) HA(597) PM(602) HM(602) PP(711) PA(741)
[1732] N(310) HP(1205) HA(1560) HM(1572) PA(1819) PP(1829) PM(1886)
[1733] N(153) HP(568) HA(740) HM(755) PM(846) PA(879) PP(893)
[1734] N(806) HP(3458) HA(4261) HM(4408) PP(5312) PM(5785) PA(6629)
[1735] N(508) HP(2097) HA(2655) HM(2729) PM(3376) PP(3433) PA(3616)
[1736] N(159) HP(317) HA(580) HM(633) PM(846) PA(938) PP(13036)
[1737] N(839) HP(3610) HA(4424) HM(4618) PP(5934) PM(6099) PA(6510)
[1738] N(573) HP(2348) HA(2999) HM(3064) PM(3569) PP(3930) PA(4498)
[1739] N(607) HP(1213) HA(2233) HM(2425) PM(3758) PA(4448) PP(185740)
[1740] N(654) HP(2742) HA(3457) HM(3500) PM(3828) PP(4344) PA(4549)
[1741] N(311) HP(1229) HA(1548) HM(1601) PM(1986) PA(2022) PP(2145)
[1742] N(538) HP(2233) HA(2798) HM(2883) PM(3265) PA(3903) PP(4233)
[1743] N(280) HP(1097) HA(1382) HM(1428) PP(1643) PA(1722) PM(1751)
[1744] N(822) HP(3502) HA(4405) HM(4526) PP(5575) PM(5713) PA(6873)
[1745] N(610) HP(2558) HA(3169) HM(3293) PP(3893) PM(4062) PA(4550)
[1746] N(288) HP(1124) HA(1430) HM(1448) PM(1575) PP(1910) PA(2213)
[1747] N(367) HP(1469) HA(1839) HM(1924) PP(2271) PA(2339) PM(2706)
[1748] N(186) HP(707) HA(910) HM(925) PP(1076) PM(1147) PA(1297)
[1749] N(18) HP(35) HA(61) PM(68) PA(68) HM(69) PP(205)
[1750] N(797) HP(3402) HA(4214) HM(4335) PM(5094) PP(5620) PA(7323)
[1751] N(744) HP(3172) HA(3919) HM(4044) PM(5180) PA(5664) PP(5682)
[1752] N(814) HP(3484) HA(4304) HM(4443) PM(6110) PP(6240) PA(7084)
[1753] N(978) HP(4270) HA(5212) HM(5478) PM(6116) PA(7304) PP(7471)
[1754] N(700) HP(2969) HA(3698) HM(3795) PM(4911) PP(5293) PA(5398)
[1755] N(877) HP(3696) HA(4670) HM(4805) PM(6106) PP(6587) PA(7172)
[1756] N(107) HP(371) HA(491) HM(511) PP(529) PM(541) PA(623)
[1757] N(164) HP(614) HA(769) PP(797) HM(808) PM(879) PA(988)
[1758] N(907) HP(3939) HA(4846) HM(5021) PP(6490) PM(6564) PA(7298)
[1759] N(831) HP(3559) HA(4432) HM(4552) PM(5745) PP(6234) PA(6984)
[1760] N(44) HP(157) PP(161) HA(194) HM(202) PM(211) PA(231)
[1761] N(748) HP(1495) HA(2766) HM(2989) PM(4986) PA(5990) PP(281620)
[1762] N(546) HP(2262) HA(2820) HM(2920) PM(3449) PA(4422) PP(4594)
[1763] N(651) HP(2751) HA(3401) HM(3526) PM(4303) PP(4452) PA(4875)
[1764] N(793) HP(3426) HA(4188) HM(4326) PP(5413) PM(5803) PA(6195)
[1765] N(241) HP(944) HA(1182) HM(1213) PM(1305) PP(1507) PA(1947)
[1766] N(129) HP(468) HA(591) HM(620) PP(673) PM(726) PA(761)
[1767] N(377) HP(1548) HA(1904) HM(1954) PP(2160) PM(2511) PA(2533)
[1768] N(781) HP(3376) HA(4181) HM(4274) PM(4985) PP(5962) PA(6222)
[1769] N(116) HP(412) HA(546) HM(561) PM(569) PP(598) PA(662)
[1770] N(605) HP(2525) HA(3112) HM(3268) PP(3909) PM(3980) PA(4514)
[1771] N(236) HP(471) HA(865) HM(941) PM(1241) PA(1554) PP(28436)
[1772] N(652) HP(1303) HA(2381) HM(2605) PM(4164) PA(5775) PP(214180)
[1773] N(169) HP(630) HA(800) HM(831) PM(963) PP(1017) PA(1019)
[1774] N(892) HP(3868) HA(4761) HM(4940) PM(6145) PP(6173) PA(6953)
[1775] N(717) HP(1433) HA(2643) HM(2865) PM(4735) PA(5685) PP(258835)
[1776] N(20) HP(61) HA(74) PM(79) HM(80) PP(81) PA(88)
[1777] N(791) HP(3376) HA(4151) HM(4330) PM(5514) PA(5580) PP(6180)
[1778] N(718) HP(1435) HA(2639) HM(2869) PM(4743) PA(5717) PP(259555)
[1779] N(500) HP(2054) HA(2567) HM(2665) PM(3101) PP(3327) PA(3824)
[1780] N(317) HP(1273) HA(1570) HM(1651) PP(1693) PM(1783) PA(2229)
[1781] N(902) HP(3900) HA(4767) HM(5003) PM(5842) PP(6217) PA(7130)
[1782] N(66) HP(131) HA(240) HM(261) PM(282) PA(359) PP(2341)
[1783] N(118) HP(235) HA(434) HM(469) PM(561) PA(674) PP(7255)
[1784] N(184) HP(367) HA(672) HM(733) PM(1042) PA(1281) PP(17386)
[1785] N(173) HP(655) HA(834) HM(852) PP(946) PA(979) PM(1017)
[1786] N(363) HP(1457) HA(1840) HM(1883) PM(2094) PP(2880) PA(3190)
[1787] N(526) HP(2172) HA(2691) HM(2804) PP(3656) PM(3726) PA(3823)
[1788] N(793) HP(3329) HA(4227) HM(4315) PM(5582) PP(5610) PA(5846)
[1789] N(213) HP(824) HA(1043) HM(1071) PM(1283) PA(1289) PP(1367)
[1790] N(674) HP(2829) HA(3483) HM(3642) PP(4786) PM(4869) PA(5404)
[1791] N(394) HP(1590) HA(1987) HM(2051) PM(2364) PA(2775) PP(2781)
[1792] N(522) HP(2185) HA(2690) HM(2806) PM(3248) PP(3335) PA(5223)
[1793] N(668) HP(2816) HA(3489) HM(3602) PM(4547) PP(4791) PA(4986)
[1794] N(128) HP(466) HA(600) HM(622) PM(623) PP(775) PA(960)
[1795] N(752) HP(3159) HA(3967) HM(4144) PM(4974) PP(5279) PA(5598)
[1796] N(781) HP(3299) HA(4147) HM(4322) PM(5439) PA(5914) PP(6131)
[1797] N(402) HP(1597) HA(2027) HM(2113) PM(2440) PP(2461) PA(2730)
[1798] N(215) HP(841) HA(1056) HM(1100) PP(1181) PM(1204) PA(1358)
[1799] N(771) HP(3284) HA(4067) HM(4193) PM(4981) PP(5383) PA(5714)
[1800] N(138) HP(509) PM(615) HM(676) HA(679) PA(810) PP(850)
[1801] N(671) HP(2866) HA(3515) HM(3651) PM(4151) PA(4572) PP(4722)
[1802] N(271) HP(1047) HA(1333) HM(1351) PM(1524) PP(1554) PA(1811)
[1803] N(718) HP(3017) HA(3753) HM(3902) PM(4668) PP(4906) PA(5368)
[1804] N(524) HP(2197) HA(2700) HM(2753) PM(3332) PP(3369) PA(3656)
[1805] N(623) HP(2636) HA(3252) HM(3324) PP(4077) PM(4149) PA(4693)
[1806] N(178) HP(355) HA(654) HM(709) PM(999) PA(1000) PP(16285)
[1807] N(31) HP(94) HA(128) HM(135) PM(136) PA(143) PP(148)
[1808] N(846) HP(3650) HA(4542) HM(4651) PM(5772) PA(6672) PP(6752)
[1809] N(704) HP(3003) HA(3662) HM(3801) PP(4819) PM(4860) PA(5467)
[1810] N(100) HP(356) PP(443) HA(453) HM(472) PM(509) PA(615)
[1811] N(529) HP(2191) HA(2710) HM(2844) PP(3241) PM(3738) PA(4008)
[1812] N(436) HP(1769) HA(2239) HM(2289) PM(2417) PP(2880) PA(2881)
[1813] N(276) HP(1080) HA(1342) HM(1388) PM(1728) PP(1769) PA(1850)
[1814] N(188) HP(715) HA(911) HM(928) PP(969) PM(1043) PA(1352)
[1815] N(91) HP(321) HA(409) PM(415) HM(426) PP(497) PA(654)
[1816] N(325) HP(1281) HA(1640) HM(1675) PP(1871) PM(1925) PA(2413)
[1817] N(399) HP(1623) HA(2025) HM(2080) PP(2248) PM(2538) PA(3097)
[1818] N(118) HP(424) HA(558) HM(562) PM(599) PA(652) PP(718)
[1819] N(840) HP(3615) HA(4444) HM(4590) PM(5356) PA(6587) PP(6703)
[1820] N(679) HP(1357) HA(2503) HM(2713) PM(4410) PA(4773) PP(232216)
[1821] N(434) HP(1748) HA(2209) HM(2270) PP(2648) PM(2783) PA(3052)
[1822] N(530) HP(2218) HA(2731) HM(2829) PM(3394) PP(3906) PA(4279)
[1823] N(932) HP(4010) HA(5010) HM(5147) PP(6739) PM(7019) PA(7308)
[1824] N(239) HP(477) HA(869) HM(953) PM(1246) PA(1427) PP(29156)
[1825] N(758) HP(3226) HA(4011) HM(4139) PP(4858) PM(5278) PA(5588)
[1826] N(38) HP(119) PM(153) HA(158) HM(163) PA(179) PP(209)
[1827] N(678) HP(2855) HA(3596) HM(3716) PM(4501) PP(5034) PA(5152)
[1828] N(681) HP(2897) HA(3536) HM(3649) PM(4946) PP(5254) PA(5563)
[1829] N(354) HP(707) HA(1298) HM(1413) PM(2154) PA(2482) PP(63541)
[1830] N(443) HP(1792) HA(2258) HM(2354) PM(2831) PP(2882) PA(3081)
[1831] N(901) HP(3876) HA(4756) HM(5007) PM(6125) PA(6806) PP(7060)
[1832] N(732) HP(3059) HA(3860) HM(3989) PM(4622) PP(5924) PA(7390)
[1833] N(409) HP(1665) HA(2040) HM(2130) PP(2169) PM(2206) PA(2885)
[1834] N(32) HP(98) PM(127) HA(129) PP(132) HM(132) PA(139)
[1835] N(777) HP(3301) HA(4094) HM(4215) PM(4683) PP(5364) PA(7184)
[1836] N(24) HP(79) PM(96) HM(100) HA(100) PP(104) PA(120)
[1837] N(872) HP(3682) HA(4672) HM(4841) PM(5620) PP(6338) PA(6924)
[1838] N(565) HP(2354) HA(2936) HM(3046) PM(3542) PP(3848) PA(4784)
[1839] N(815) HP(3491) HA(4339) HM(4469) PM(5391) PA(5758) PP(5917)
[1840] N(144) HP(538) HA(684) HM(717) PA(826) PM(866) PP(883)
[1841] N(145) HP(523) HA(673) HM(702) PM(761) PA(922) PP(1077)
[1842] N(46) HP(153) PP(179) HA(193) PM(201) HM(209) PA(244)
[1843] N(891) HP(3837) HA(4791) HM(4894) PM(6420) PP(6669) PA(8759)
[1844] N(565) HP(2332) HA(2949) HM(3047) PM(3226) PP(3820) PA(4614)
[1845] N(312) HP(1219) HA(1571) HM(1592) PP(1756) PM(1852) PA(2523)
[1846] N(112) HP(400) PM(514) HA(527) HM(540) PP(582) PA(669)
[1847] N(901) HP(3876) HA(4784) HM(4946) PM(5895) PA(6527) PP(8585)
[1848] N(926) HP(3968) HA(4918) HM(5106) PM(6180) PA(6773) PP(7130)
[1849] N(499) HP(2045) HA(2575) HM(2624) PM(3254) PP(3827) PA(4546)
[1850] N(480) HP(959) HA(1775) HM(1917) PM(2739) PA(3740) PP(116398)
[1851] N(147) HP(549) HA(689) HM(719) PM(741) PP(885) PA(1026)
[1852] N(194) HP(730) HA(959) HM(962) PM(1033) PP(1179) PA(1358)
[1853] N(258) HP(997) HA(1251) HM(1318) PP(1470) PM(1509) PA(1907)
[1854] N(539) HP(2201) HA(2774) HM(2906) PM(3304) PP(3445) PA(4563)
[1855] N(282) HP(1102) HA(1385) HM(1449) PM(1594) PP(1671) PA(2171)
[1856] N(625) HP(2596) HA(3250) HM(3359) PM(3919) PA(4517) PP(4606)
[1857] N(524) HP(2173) HA(2720) HM(2813) PM(3420) PP(3800) PA(4060)
[1858] N(743) HP(3158) HA(3929) HM(4052) PM(4636) PP(4914) PA(5871)
[1859] N(368) HP(1469) HA(1850) HM(1903) PM(2214) PP(2547) PA(2679)
[1860] N(663) HP(2801) HA(3494) HM(3586) PM(4083) PA(4889) PP(5128)
[1861] N(108) HP(381) HA(504) HM(521) PP(538) PM(539) PA(673)
[1862] N(917) HP(4004) HA(4922) HM(5047) PM(5548) PP(6208) PA(7017)
[1863] N(186) HP(708) HA(884) HM(909) PM(1057) PP(1117) PA(1345)
[1864] N(446) HP(1807) HA(2291) HM(2337) PM(2592) PP(2801) PA(3854)
[1865] N(183) HP(717) HA(882) HM(904) PM(985) PP(1070) PA(1106)
[1866] N(316) HP(1233) HA(1575) HM(1615) PM(1896) PP(1912) PA(2004)
[1867] N(829) HP(3579) HA(4380) HM(4526) PM(5402) PA(6279) PP(7552)
[1868] N(436) HP(1764) HA(2223) HM(2315) PM(2578) PP(3478) PA(3565)
[1869] N(522) HP(1043) HA(1920) HM(2085) PM(2940) PA(3496) PP(137545)
[1870] N(893) HP(3864) HA(4788) HM(4953) PM(6408) PP(6582) PA(6851)
[1871] N(712) HP(3018) HA(3726) HM(3847) PP(4632) PM(4831) PA(6013)
[1872] N(187) HP(715) HA(902) HM(934) PM(1024) PP(1292) PA(1375)
[1873] N(751) HP(3130) HA(3954) HM(4094) PP(5227) PM(5329) PA(6306)
[1874] N(815) HP(3449) HA(4379) HM(4505) PM(4811) PP(5510) PA(6343)
[1875] N(953) HP(4149) HA(5118) HM(5291) PP(6488) PM(6890) PA(7387)
[1876] N(398) HP(1607) HA(2016) HM(2076) PM(2508) PP(2592) PA(3014)
[1877] N(157) HP(601) HA(732) PM(762) HM(765) PA(1031) PP(1157)
[1878] N(982) HP(4246) HA(5259) HM(5436) PM(6415) PP(6733) PA(7991)
[1879] N(714) HP(3069) HA(3788) HM(3884) PM(5098) PA(5296) PP(5830)
[1880] N(459) HP(1878) HA(2306) HM(2418) PM(2715) PP(2821) PA(3338)
[1881] N(442) HP(1789) HA(2287) HM(2341) PM(2786) PP(3213) PA(3229)
[1882] N(871) HP(3763) HA(4653) HM(4783) PM(5914) PP(6513) PA(7118)
[1883] N(143) HP(515) HA(666) HM(697) PM(742) PP(823) PA(944)
[1884] N(559) HP(2303) HA(2904) HM(2993) PM(3399) PP(3966) PA(4316)
[1885] N(653) HP(1305) HA(2397) HM(2608) PM(4173) PA(5037) PP(214835)
[1886] N(487) HP(1978) HA(2511) HM(2588) PM(3071) PA(3303) PP(3448)
[1887] N(764) HP(1527) HA(2801) HM(3053) PM(5101) PA(5328) PP(293756)
[1888] N(990) HP(4254) HA(5324) HM(5490) PP(7545) PM(7923) PA(8631)
[1889] N(85) HP(310) PM(371) HA(392) HM(396) PP(422) PA(473)
[1890] N(616) HP(2596) HA(3217) HM(3293) PM(3831) PA(4077) PP(4092)
[1891] N(753) HP(3186) HA(3953) HM(4091) PP(4621) PA(5017) PM(5390)
[1892] N(586) HP(2463) HA(3022) HM(3144) PM(3744) PP(3878) PA(4982)
[1893] N(552) HP(1103) HA(2024) HM(2205) PM(3245) PA(4475) PP(153730)
[1894] N(239) HP(910) HA(1167) HM(1192) PM(1324) PP(1491) PA(1562)
[1895] N(44) HP(143) PM(171) HA(198) HM(199) PA(226) PP(232)
[1896] N(803) HP(3457) HA(4285) HM(4362) PP(5819) PM(6036) PA(6264)
[1897] N(38) HP(122) HA(156) PM(164) HM(173) PA(196) PP(199)
[1898] N(633) HP(2662) HA(3291) HM(3453) PP(3710) PM(4134) PA(5412)
[1899] N(22) HP(66) PP(74) PM(81) HM(88) HA(90) PA(105)
[1900] N(11) HP(31) PM(36) PP(37) PA(42) HA(42) HM(43)
[1901] N(574) HP(2395) HA(2977) HM(3075) PM(3717) PP(3827) PA(4552)
[1902] N(994) HP(4304) HA(5368) HM(5542) PM(6706) PP(7634) PA(7742)
[1903] N(668) HP(2802) HA(3509) HM(3625) PM(4273) PP(4370) PA(4838)
[1904] N(975) HP(4249) HA(5214) HM(5416) PM(7063) PA(7711) PP(7817)
[1905] N(888) HP(3817) HA(4725) HM(4910) PA(6308) PM(6724) PP(6825)
[1906] N(412) HP(1694) HA(2149) HM(2182) PM(2544) PP(2658) PA(2862)
[1907] N(841) HP(1681) HA(3065) HM(3361) PM(5493) PA(9273) PP(355741)
[1908] N(943) HP(4088) HA(5075) HM(5205) PM(5915) PP(6910) PA(8572)
[1909] N(225) HP(878) HA(1088) HM(1142) PM(1166) PP(1240) PA(1574)
[1910] N(34) HP(112) PP(122) PM(134) HA(138) PA(141) HM(146)
[1911] N(227) HP(875) HA(1103) HM(1121) PM(1189) PP(1401) PA(1517)
[1912] N(401) HP(1613) HA(2018) HM(2100) PP(2599) PM(2715) PA(2928)
[1913] N(628) HP(1255) HA(2296) HM(2509) PM(3947) PA(4855) PP(198760)
[1914] N(624) HP(2592) HA(3254) HM(3371) PM(3944) PP(4331) PA(5040)
[1915] N(161) HP(591) HA(757) PM(794) HM(795) PP(797) PA(908)
[1916] N(814) HP(3498) HA(4332) HM(4482) PM(5428) PP(5703) PA(6136)
[1917] N(243) HP(972) HA(1208) HM(1232) PP(1573) PM(1581) PA(1745)
[1918] N(846) HP(3595) HA(4500) HM(4677) PP(5609) PM(5821) PA(6571)
[1919] N(302) HP(1181) HA(1475) HM(1528) PP(1755) PM(1846) PA(2108)
[1920] N(512) HP(2122) HA(2602) HM(2724) PP(3432) PM(3584) PA(3654)
[1921] N(450) HP(1828) HA(2274) HM(2365) PM(2980) PP(3135) PA(3433)
[1922] N(642) HP(2692) HA(3351) HM(3486) PM(4302) PA(4611) PP(5310)
[1923] N(918) HP(3955) HA(4903) HM(5077) PM(6092) PP(6443) PA(8625)
[1924] N(911) HP(3897) HA(4902) HM(5054) PM(6200) PA(6793) PP(7636)
[1925] N(547) HP(2219) HA(2819) HM(2897) PM(3579) PP(3888) PA(4097)
[1926] N(592) HP(2514) HA(3110) HM(3181) PM(4150) PP(4156) PA(4200)
